marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,unemployment_rate,inflation_rate,gdp,target
single,General application,2,Health sciences,daytime,Upper secondary education,112.0,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Elementary Occupations,106.8,yes,no,no,yes,female,yes,19,no,12.4,0.5,1.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,126.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Student,120.1,no,yes,no,yes,female,yes,20,no,11.1,0.6,2.02,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,116.5,yes,no,no,yes,female,yes,19,no,12.4,0.5,1.79,Graduate
single,Other,1,Communication and design,daytime,Upper secondary education,117.0,Master/Doctoral,Upper secondary/Post secondary,Professionals,Other,120.0,yes,no,no,yes,female,no,21,no,8.9,1.4,3.51,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,153.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Clerical Support Workers,139.7,yes,no,no,yes,female,yes,19,no,11.1,0.6,2.02,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,124.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,123.7,yes,no,no,yes,female,yes,18,no,13.9,-0.3,0.79,Graduate
single,General application,2,Engineering and applied sciences,daytime,Upper secondary education,127.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Managers,116.5,no,no,no,yes,female,no,19,no,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,126.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Service and Sales Workers,122.2,no,no,no,yes,female,yes,19,no,8.9,1.4,3.51,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,133.1,Lower secondary education,Upper secondary/Post secondary,Technicians and Associate Professionals,Other,146.0,no,no,yes,yes,female,no,20,no,16.2,0.3,-0.92,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,114.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Student,108.8,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Enrolled
single,Other,1,Communication and design,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,133.0,no,no,no,yes,female,no,18,no,15.5,2.8,-4.06,Enrolled
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,123.8,no,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Plant and Machine Operators and Assemblers,120.0,no,no,no,yes,female,no,18,no,8.9,1.4,3.51,Dropout
single,General application,3,Social sciences and education,daytime,Upper secondary education,143.0,Primary/Early education,Lower secondary education,Student,Craft and Related Trades Workers,126.9,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,121.3,yes,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Dropout
single,General application,3,Health sciences,daytime,Upper secondary education,136.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,129.0,yes,no,no,yes,female,yes,19,no,12.4,0.5,1.79,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,125.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,114.9,yes,no,yes,no,female,no,21,no,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Tertiary education experience,110.0,Upper secondary/Post secondary,Bachelor or equivalent,Service and Sales Workers,Plant and Machine Operators and Assemblers,106.5,yes,no,yes,no,female,no,20,no,10.8,1.4,1.74,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,130.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,133.9,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Master/Doctoral,Service and Sales Workers,Technicians and Associate Professionals,124.9,no,no,no,yes,female,yes,20,no,10.8,1.4,1.74,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,133.0,Upper secondary/Post secondary,Primary/Early education,Managers,Elementary Occupations,128.5,yes,no,no,yes,female,yes,19,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Health sciences,daytime,Tertiary education experience,122.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,126.2,yes,no,no,yes,female,no,22,no,9.4,-0.8,-3.12,Dropout
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,122.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,121.7,yes,no,no,no,female,no,22,no,9.4,-0.8,-3.12,Dropout
single,General application,2,Social sciences and education,daytime,Upper secondary education,121.0,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Service and Sales Workers,120.0,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Enrolled
single,Other,1,Business and management,daytime,Upper secondary education,123.0,Bachelor or equivalent,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,113.2,no,no,no,yes,female,no,21,no,7.6,2.6,0.32,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,128.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Student,Service and Sales Workers,120.3,yes,no,no,yes,female,no,19,no,7.6,2.6,0.32,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,139.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,127.8,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,124.0,Unknown,Unknown,Student,Student,123.3,yes,no,no,yes,female,yes,20,no,9.4,-0.8,-3.12,Dropout
single,General application,3,Health sciences,daytime,Upper secondary education,135.0,Lower secondary education,Upper secondary/Post secondary,Plant and Machine Operators and Assemblers,Plant and Machine Operators and Assemblers,126.3,yes,no,yes,yes,female,yes,18,no,15.5,2.8,-4.06,Graduate
single,Other,1,Business and management,evening,Post-secondary non-tertiary education,110.0,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Elementary Occupations,128.2,no,no,no,no,female,no,22,no,8.9,1.4,3.51,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Upper secondary/Post secondary,Primary/Early education,Other,Craft and Related Trades Workers,134.9,yes,no,no,yes,female,no,20,no,7.6,2.6,0.32,Graduate
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,140.0,Lower secondary education,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",140.0,no,no,no,yes,female,no,19,no,12.4,0.5,1.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,126.0,Upper secondary/Post secondary,Upper secondary/Post secondary,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,115.5,yes,no,no,yes,female,yes,19,no,12.4,0.5,1.79,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,113.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,106.7,yes,no,no,yes,female,yes,20,no,11.1,0.6,2.02,Enrolled
single,Over 23,1,Business and management,evening,Upper secondary education,120.0,Lower secondary education,Lower secondary education,Technicians and Associate Professionals,Technicians and Associate Professionals,140.0,no,no,no,yes,female,no,25,no,15.5,2.8,-4.06,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,136.6,no,no,no,yes,female,yes,19,no,15.5,2.8,-4.06,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,124.0,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,119.3,yes,no,no,yes,female,no,19,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,160.0,Bachelor or equivalent,Lower secondary education,Managers,Elementary Occupations,152.0,yes,no,no,no,female,no,19,no,10.8,1.4,1.74,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,144.3,no,no,no,yes,female,no,20,no,13.9,-0.3,0.79,Graduate
single,Over 23,2,Health sciences,daytime,Upper secondary education,130.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,159.0,yes,no,no,yes,female,no,25,no,12.4,0.5,1.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,127.0,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Elementary Occupations,129.5,yes,no,no,yes,female,yes,20,no,7.6,2.6,0.32,Graduate
single,Over 23,1,Social sciences and education,daytime,Upper secondary education,170.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,140.0,yes,no,no,yes,female,no,24,no,9.4,-0.8,-3.12,Enrolled
single,General application,3,Business and management,daytime,Upper secondary education,111.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,105.4,no,no,no,yes,female,no,20,no,7.6,2.6,0.32,Graduate
single,Other,1,Health sciences,daytime,Upper secondary education,100.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Plant and Machine Operators and Assemblers,136.0,yes,no,no,yes,female,no,21,no,15.5,2.8,-4.06,Graduate
single,Other,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,160.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,160.0,no,no,yes,yes,female,yes,19,no,15.5,2.8,-4.06,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,152.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,139.1,no,no,no,yes,female,yes,19,no,16.2,0.3,-0.92,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,144.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,126.9,no,no,no,yes,female,yes,21,no,9.4,-0.8,-3.12,Graduate
single,Over 23,1,Health sciences,daytime,Tertiary education experience,133.8,Bachelor or equivalent,Primary/Early education,Professionals,Other,184.0,no,no,no,yes,female,no,28,no,15.5,2.8,-4.06,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,125.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,125.0,yes,no,yes,no,female,yes,19,no,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,150.0,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",138.5,no,no,no,yes,female,yes,18,no,12.4,0.5,1.79,Graduate
in union,General application,>3,Health sciences,daytime,Upper secondary education,143.0,Primary/Early education,Lower secondary education,Service and Sales Workers,Plant and Machine Operators and Assemblers,133.5,yes,no,no,yes,female,yes,18,no,12.7,3.7,-1.7,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,141.5,yes,no,no,yes,female,yes,18,no,9.4,-0.8,-3.12,Graduate
single,Other,1,Health sciences,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Bachelor or equivalent,Elementary Occupations,Technicians and Associate Professionals,130.0,yes,no,no,yes,female,no,22,no,12.7,3.7,-1.7,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,138.0,Primary/Early education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,131.0,yes,no,no,yes,female,no,19,no,12.4,0.5,1.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,145.0,no,no,no,yes,female,yes,18,no,13.9,-0.3,0.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,122.0,Primary/Early education,Primary/Early education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",114.3,no,no,no,no,female,no,20,no,15.5,2.8,-4.06,Dropout
single,Other,1,Communication and design,daytime,Post-secondary non-tertiary education,110.0,Primary/Early education,Primary/Early education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",108.3,no,no,no,no,female,no,26,no,12.4,0.5,1.79,Dropout
single,General application,3,Communication and design,daytime,Upper secondary education,136.0,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,125.2,yes,no,no,yes,female,yes,18,no,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,145.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Elementary Occupations,131.7,yes,no,no,yes,female,yes,21,no,10.8,1.4,1.74,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,141.0,Lower secondary education,Primary/Early education,Technicians and Associate Professionals,Technicians and Associate Professionals,126.3,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,149.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,"Skilled Agricultural, Forestry and Fishery Workers",147.6,yes,no,no,yes,female,no,20,no,15.5,2.8,-4.06,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,130.0,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",125.1,yes,no,no,yes,female,no,18,no,15.5,2.8,-4.06,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,121.0,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Elementary Occupations,123.8,no,no,no,yes,female,yes,19,no,12.7,3.7,-1.7,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,128.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Professionals,Professionals,130.8,yes,no,no,yes,female,no,20,no,7.6,2.6,0.32,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,152.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,154.1,no,no,yes,yes,female,yes,18,no,12.7,3.7,-1.7,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,132.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,122.6,yes,no,no,yes,female,yes,20,no,10.8,1.4,1.74,Enrolled
single,General application,2,Social sciences and education,evening,Upper secondary education,107.0,Upper secondary/Post secondary,Lower secondary education,Student,Student,103.5,yes,no,no,yes,female,no,22,no,7.6,2.6,0.32,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,131.0,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Service and Sales Workers,132.8,yes,no,no,yes,female,no,18,no,7.6,2.6,0.32,Enrolled
single,Other,1,Business and management,evening,Upper secondary education,141.0,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Craft and Related Trades Workers,100.0,no,no,no,yes,female,no,21,no,8.9,1.4,3.51,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Student,115.8,no,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,148.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,133.8,no,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,118.5,no,yes,no,yes,female,yes,18,no,8.9,1.4,3.51,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,145.0,Primary/Early education,Primary/Early education,Elementary Occupations,Managers,150.3,yes,no,no,yes,female,no,19,no,15.5,2.8,-4.06,Dropout
single,General application,3,Business and management,daytime,Upper secondary education,112.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Service and Sales Workers,107.8,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Clerical Support Workers,127.5,yes,no,no,yes,female,no,19,no,16.2,0.3,-0.92,Enrolled
single,General application,3,Health sciences,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,120.5,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,118.0,Upper secondary/Post secondary,Bachelor or equivalent,Other,Other,117.3,yes,no,no,yes,female,no,19,no,8.9,1.4,3.51,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,123.0,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,120.6,yes,no,no,no,female,no,19,no,10.8,1.4,1.74,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,126.0,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,118.7,yes,no,no,yes,female,yes,21,no,8.9,1.4,3.51,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,150.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,130.8,no,no,no,yes,female,yes,20,yes,15.5,2.8,-4.06,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,121.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Elementary Occupations,112.6,yes,no,no,yes,female,yes,20,no,11.1,0.6,2.02,Graduate
single,Over 23,1,Business and management,evening,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,117.2,no,no,no,yes,female,no,41,no,7.6,2.6,0.32,Graduate
previously in union,Other,1,Health sciences,daytime,Tertiary education experience,130.0,Primary/Early education,Primary/Early education,Technicians and Associate Professionals,Technicians and Associate Professionals,130.0,yes,no,no,yes,female,no,32,no,12.4,0.5,1.79,Enrolled
single,General application,3,Health sciences,daytime,Upper secondary education,139.0,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,131.8,yes,no,no,yes,female,no,18,no,10.8,1.4,1.74,Graduate
previously in union,Over 23,1,Social sciences and education,evening,Upper secondary education,160.0,Primary/Early education,Primary/Early education,Technicians and Associate Professionals,Clerical Support Workers,97.0,no,no,no,yes,female,yes,35,no,15.5,2.8,-4.06,Graduate
single,Over 23,1,Health sciences,daytime,Upper secondary education,110.0,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,130.0,no,no,yes,no,female,no,32,no,16.2,0.3,-0.92,Dropout
single,Over 23,1,Social sciences and education,evening,Tertiary education experience,140.0,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Elementary Occupations,148.0,no,no,no,yes,female,no,37,no,12.4,0.5,1.79,Graduate
in union,Over 23,2,Business and management,daytime,Tertiary education experience,130.0,Bachelor or equivalent,Primary/Early education,Elementary Occupations,Elementary Occupations,103.4,no,no,no,yes,female,no,30,no,12.7,3.7,-1.7,Dropout
single,Other,2,Communication and design,daytime,Upper secondary education,132.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Student,Student,127.1,no,no,no,yes,male,no,23,no,7.6,2.6,0.32,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,139.0,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,124.0,yes,no,no,yes,female,yes,20,no,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,121.4,no,no,no,yes,male,no,21,no,9.4,-0.8,-3.12,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,117.0,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,118.1,no,no,no,yes,male,no,19,no,12.4,0.5,1.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,137.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Technicians and Associate Professionals,121.3,yes,no,no,yes,male,yes,18,no,10.8,1.4,1.74,Graduate
single,Other,1,Engineering and applied sciences,daytime,Upper secondary education,144.0,Unknown,Unknown,Student,Student,119.5,no,no,no,yes,male,no,18,no,10.8,1.4,1.74,Dropout
single,Over 23,1,Business and management,evening,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Other,115.2,no,no,no,yes,male,no,24,no,12.4,0.5,1.79,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Elementary Occupations,130.2,yes,no,no,yes,male,no,22,no,12.7,3.7,-1.7,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,130.0,yes,no,no,yes,male,no,18,no,16.2,0.3,-0.92,Dropout
single,General application,2,Social sciences and education,daytime,Upper secondary education,130.0,Primary/Early education,Primary/Early education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",126.9,yes,no,no,yes,female,no,18,no,9.4,-0.8,-3.12,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,152.0,Bachelor or equivalent,Upper secondary/Post secondary,Elementary Occupations,Managers,168.5,yes,no,no,yes,male,no,21,yes,16.2,0.3,-0.92,Graduate
previously in union,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,130.0,no,no,yes,yes,female,no,38,no,16.2,0.3,-0.92,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,140.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,122.8,no,no,no,yes,female,yes,19,no,12.7,3.7,-1.7,Graduate
previously in union,Over 23,1,Health sciences,daytime,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,110.0,no,no,no,yes,female,no,36,no,16.2,0.3,-0.92,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,127.1,yes,no,no,yes,female,no,18,no,12.7,3.7,-1.7,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,108.5,yes,no,no,yes,female,no,19,no,12.4,0.5,1.79,Graduate
single,Other,1,Health sciences,daytime,Post-secondary non-tertiary education,140.0,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,138.2,no,no,yes,no,female,no,21,no,8.9,1.4,3.51,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,133.1,Upper secondary/Post secondary,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",96.0,yes,no,no,yes,female,no,19,no,11.1,0.6,2.02,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,135.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,124.5,no,no,no,yes,female,yes,18,no,16.2,0.3,-0.92,Graduate
in union,Other,1,Health sciences,daytime,Tertiary education experience,120.0,Primary/Early education,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,120.0,yes,no,no,yes,female,no,45,no,13.9,-0.3,0.79,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,140.0,Primary/Early education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,132.3,yes,no,no,yes,female,no,20,no,7.6,2.6,0.32,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,128.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,120.7,yes,no,yes,yes,female,no,18,no,13.9,-0.3,0.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,141.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,132.6,no,no,no,yes,female,yes,18,no,11.1,0.6,2.02,Graduate
single,Other,2,Engineering and applied sciences,daytime,Tertiary education experience,140.0,Unknown,Unknown,Student,Student,140.0,no,no,no,yes,female,no,25,no,10.8,1.4,1.74,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,139.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,124.5,yes,no,no,yes,female,no,19,no,10.8,1.4,1.74,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,142.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Craft and Related Trades Workers,Craft and Related Trades Workers,142.0,yes,no,no,yes,female,yes,18,no,13.9,-0.3,0.79,Graduate
single,Other,1,Business and management,daytime,Tertiary education experience,130.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,"Skilled Agricultural, Forestry and Fishery Workers",130.0,no,no,no,yes,female,no,39,no,13.9,-0.3,0.79,Graduate
in union,Over 23,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,144.0,no,no,no,yes,female,no,29,no,15.5,2.8,-4.06,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,125.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Craft and Related Trades Workers,128.5,yes,no,no,yes,female,no,18,no,13.9,-0.3,0.79,Enrolled
single,Other,1,Communication and design,daytime,Tertiary education experience,140.0,Primary/Early education,Bachelor or equivalent,Elementary Occupations,Technicians and Associate Professionals,140.0,no,no,no,no,female,no,23,no,10.8,1.4,1.74,Dropout
single,Other,1,Social sciences and education,daytime,Upper secondary education,120.0,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Service and Sales Workers,113.9,yes,no,no,yes,female,no,21,no,12.7,3.7,-1.7,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,147.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,137.2,no,no,no,no,female,no,18,no,10.8,1.4,1.74,Graduate
single,Other,1,Health sciences,daytime,Tertiary education experience,140.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,140.0,yes,no,no,yes,female,no,23,no,12.4,0.5,1.79,Graduate
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,161.0,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,152.3,no,no,no,yes,female,no,18,no,11.1,0.6,2.02,Graduate
in union,Over 23,1,Social sciences and education,evening,Upper secondary education,133.1,Primary/Early education,Primary/Early education,Clerical Support Workers,Plant and Machine Operators and Assemblers,112.5,no,no,no,yes,female,no,32,no,9.4,-0.8,-3.12,Graduate
in union,Over 23,2,Business and management,daytime,Upper secondary education,150.0,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,101.0,no,no,yes,no,female,no,29,no,10.8,1.4,1.74,Dropout
