marital_status,application_mode,application_order,course_department,daytime_evening_attendance,previous_qualification,previous_qualification_grade,nacionality,mother_qualification,father_qualification,mother_occupation,father_occupation,admission_grade,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,curricular_units_2nd_sem_evaluations,curricular_units_2nd_sem_approved,curricular_units_2nd_sem_grade,curricular_units_2nd_sem_without_evaluations,unemployment_rate,inflation_rate,gdp,target
single,Ordinance/International,1,Social sciences and education,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Elementary Occupations,122.5,no,no,no,no,female,no,28,11,11,11,11,11.727272727272728,0,8,8,8,8,12.0,0,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,158.0,Portuguese,Primary/Early education,Primary/Early education,Service and Sales Workers,Elementary Occupations,138.1,yes,no,no,yes,female,no,19,0,6,8,4,12.5,0,0,6,11,1,14.0,0,7.6,2.6,0.32,Dropout
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,116.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Technicians and Associate Professionals,117.3,yes,no,yes,yes,female,no,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,112.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Clerical Support Workers,Elementary Occupations,106.8,yes,no,no,yes,female,yes,19,0,7,8,6,13.533333333333331,0,0,8,9,7,13.614285714285714,0,12.4,0.5,1.79,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,126.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Student,120.1,no,yes,no,yes,female,yes,20,0,6,6,6,13.166666666666666,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,116.5,yes,no,no,yes,female,yes,19,0,6,9,5,13.2,0,0,6,8,5,11.0,0,12.4,0.5,1.79,Graduate
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,117.0,Portuguese,Master/Doctoral,Upper secondary/Post secondary,Professionals,Other,120.0,yes,no,no,yes,female,no,21,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,153.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Clerical Support Workers,139.7,yes,no,no,yes,female,yes,19,0,7,7,7,13.428571428571429,0,0,7,7,7,14.857142857142858,0,11.1,0.6,2.02,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,124.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Technicians and Associate Professionals,123.7,yes,no,no,yes,female,yes,18,1,6,8,6,12.714285714285714,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,Graduate
single,General application,2,Engineering and applied sciences,daytime,Upper secondary education,127.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Managers,116.5,no,no,no,yes,female,no,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,126.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Elementary Occupations,Service and Sales Workers,122.2,no,no,no,yes,female,yes,19,0,6,6,6,13.666666666666666,0,0,6,9,6,13.666666666666666,0,8.9,1.4,3.51,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,133.1,Portuguese,Lower secondary education,Upper secondary/Post secondary,Technicians and Associate Professionals,Other,146.0,no,no,yes,yes,female,no,20,0,6,6,5,11.0,0,0,6,6,6,13.166666666666666,0,16.2,0.3,-0.92,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,114.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Student,108.8,yes,no,no,yes,female,no,18,0,7,11,5,11.4,0,0,7,9,6,13.333333333333334,0,13.9,-0.3,0.79,Enrolled
single,Transfer and change,1,Communication and design,daytime,Upper secondary education,133.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Craft and Related Trades Workers,133.0,no,no,no,yes,female,no,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Enrolled
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,123.8,no,no,no,yes,female,no,18,0,5,7,4,12.0,0,0,5,6,5,12.0,0,7.6,2.6,0.32,Graduate
single,General application,3,Communication and design,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Plant and Machine Operators and Assemblers,120.0,no,no,no,yes,female,no,18,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,General application,3,Social sciences and education,daytime,Upper secondary education,143.0,Portuguese,Primary/Early education,Lower secondary education,Student,Craft and Related Trades Workers,126.9,yes,no,no,yes,female,no,18,0,6,14,5,11.0,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,121.3,yes,no,no,yes,female,no,20,0,6,12,5,12.0,0,0,6,8,6,11.571428571428571,0,15.5,2.8,-4.06,Dropout
single,General application,3,Health sciences,daytime,Upper secondary education,136.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,129.0,yes,no,no,yes,female,yes,19,0,7,7,7,13.308571428571428,0,0,8,10,8,12.55,0,12.4,0.5,1.79,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,125.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,114.9,yes,no,yes,no,female,no,21,0,6,8,3,13.666666666666666,0,0,6,7,3,10.666666666666666,0,15.5,2.8,-4.06,Dropout
single,General application,1,Business and management,daytime,Tertiary education experience,110.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Service and Sales Workers,Plant and Machine Operators and Assemblers,106.5,yes,no,yes,no,female,no,20,0,6,6,0,0.0,0,0,6,9,0,0.0,0,10.8,1.4,1.74,Dropout
single,General application,1,Business and management,daytime,Upper secondary education,130.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,133.9,yes,no,no,yes,female,no,18,0,6,10,5,12.2,0,0,6,8,4,11.25,0,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Master/Doctoral,Service and Sales Workers,Technicians and Associate Professionals,124.9,no,no,no,yes,female,yes,20,0,6,7,6,12.666666666666666,0,0,6,6,6,12.833333333333334,0,10.8,1.4,1.74,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,133.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Managers,Elementary Occupations,128.5,yes,no,no,yes,female,yes,19,0,8,8,8,14.07125,0,0,8,8,8,14.07125,0,9.4,-0.8,-3.12,Graduate
single,General application,1,Health sciences,daytime,Tertiary education experience,122.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,126.2,yes,no,no,yes,female,no,22,0,5,14,4,14.25,3,0,5,9,5,13.2,4,9.4,-0.8,-3.12,Dropout
single,General application,1,Engineering and applied sciences,daytime,Upper secondary education,122.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,121.7,yes,no,no,no,female,no,22,0,6,0,0,0.0,0,0,2,2,0,0.0,2,9.4,-0.8,-3.12,Dropout
single,General application,2,Social sciences and education,daytime,Upper secondary education,121.0,Portuguese,Lower secondary education,Lower secondary education,Craft and Related Trades Workers,Service and Sales Workers,120.0,yes,no,no,yes,female,no,18,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled
single,Transfer and change,1,Business and management,daytime,Upper secondary education,123.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,113.2,no,no,no,yes,female,no,21,3,10,18,6,11.166666666666666,2,4,10,16,7,10.571428571428571,0,7.6,2.6,0.32,Enrolled
single,General application,1,Social sciences and education,daytime,Upper secondary education,128.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Student,Service and Sales Workers,120.3,yes,no,no,yes,female,no,19,0,6,12,2,13.0,0,0,6,8,5,11.6,0,7.6,2.6,0.32,Graduate
single,General application,>3,Communication and design,daytime,Upper secondary education,139.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,127.8,yes,no,no,yes,female,no,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,General application,2,Health sciences,daytime,Upper secondary education,124.0,Portuguese,Unknown,Unknown,Student,Student,123.3,yes,no,no,yes,female,yes,20,0,8,8,7,14.901428571428571,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,Dropout
single,General application,3,Health sciences,daytime,Upper secondary education,135.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Plant and Machine Operators and Assemblers,Plant and Machine Operators and Assemblers,126.3,yes,no,yes,yes,female,yes,18,0,7,8,7,12.65,0,0,8,9,8,12.445555555555554,0,15.5,2.8,-4.06,Graduate
single,Transfer and change,1,Business and management,evening,Post-secondary non-tertiary education,110.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Elementary Occupations,128.2,no,no,no,no,female,no,22,7,12,12,7,11.0,0,5,5,5,5,10.6,0,8.9,1.4,3.51,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,138.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Other,Craft and Related Trades Workers,134.9,yes,no,no,yes,female,no,20,0,5,7,4,12.4,0,0,5,9,5,12.666666666666666,0,7.6,2.6,0.32,Graduate
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,140.0,Portuguese,Lower secondary education,Lower secondary education,"Skilled Agricultural, Forestry and Fishery Workers","Skilled Agricultural, Forestry and Fishery Workers",140.0,no,no,no,yes,female,no,19,0,6,7,6,12.0,0,0,6,7,6,12.666666666666666,0,12.4,0.5,1.79,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,126.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,115.5,yes,no,no,yes,female,yes,19,0,7,8,7,12.135714285714286,0,0,8,10,7,13.328571428571427,0,12.4,0.5,1.79,Graduate
single,General application,2,Health sciences,daytime,Upper secondary education,113.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,106.7,yes,no,no,yes,female,yes,20,0,7,10,5,12.62,0,0,7,8,6,12.5,0,11.1,0.6,2.02,Enrolled
single,Over 23,1,Business and management,evening,Upper secondary education,120.0,Portuguese,Lower secondary education,Lower secondary education,Technicians and Associate Professionals,Technicians and Associate Professionals,140.0,no,no,no,yes,female,no,25,0,5,11,3,10.666666666666666,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,145.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Craft and Related Trades Workers,136.6,no,no,no,yes,female,yes,19,0,7,12,6,13.766666666666666,0,0,8,10,7,14.051428571428572,0,15.5,2.8,-4.06,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,124.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,119.3,yes,no,no,yes,female,no,19,0,8,8,8,13.11625,0,0,8,8,8,13.11625,0,9.4,-0.8,-3.12,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,160.0,Portuguese,Bachelor or equivalent,Lower secondary education,Managers,Elementary Occupations,152.0,yes,no,no,no,female,no,19,0,5,5,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,144.3,no,no,no,yes,female,no,20,0,7,9,6,12.7,0,0,8,8,7,13.571428571428571,0,13.9,-0.3,0.79,Graduate
single,Over 23,2,Health sciences,daytime,Upper secondary education,130.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,159.0,yes,no,no,yes,female,no,25,0,7,11,7,11.857142857142858,0,0,8,21,5,11.7,0,12.4,0.5,1.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,127.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Elementary Occupations,129.5,yes,no,no,yes,female,yes,20,0,7,7,6,12.333333333333334,0,0,7,7,6,12.333333333333334,0,7.6,2.6,0.32,Graduate
single,Over 23,1,Social sciences and education,daytime,Upper secondary education,170.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Elementary Occupations,140.0,yes,no,no,yes,female,no,24,0,6,9,4,15.75,0,0,6,10,5,16.4,0,9.4,-0.8,-3.12,Enrolled
single,General application,3,Business and management,daytime,Upper secondary education,111.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Service and Sales Workers,Service and Sales Workers,105.4,no,no,no,yes,female,no,20,0,5,6,5,13.333333333333334,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
single,Transfer and change,1,Health sciences,daytime,Upper secondary education,100.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Plant and Machine Operators and Assemblers,136.0,yes,no,no,yes,female,no,21,4,7,9,7,14.355555555555554,0,5,8,8,8,13.49375,0,15.5,2.8,-4.06,Graduate
single,Post-secondary qualification,1,Engineering and applied sciences,daytime,Post-secondary non-tertiary education,160.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,160.0,no,no,yes,yes,female,yes,19,0,6,8,6,13.0,0,0,6,11,5,13.0,0,15.5,2.8,-4.06,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,152.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Elementary Occupations,139.1,no,no,no,yes,female,yes,19,0,6,6,6,12.833333333333334,0,0,6,6,6,13.5,0,16.2,0.3,-0.92,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,144.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,126.9,no,no,no,yes,female,yes,21,0,5,5,5,13.2,0,0,5,5,4,13.0,0,9.4,-0.8,-3.12,Graduate
single,Over 23,1,Health sciences,daytime,Tertiary education experience,133.8,Portuguese,Bachelor or equivalent,Primary/Early education,Professionals,Other,184.0,no,no,no,yes,female,no,28,0,7,9,7,17.005555555555556,0,1,8,9,8,16.582222222222224,0,15.5,2.8,-4.06,Graduate
single,General application,1,Social sciences and education,daytime,Upper secondary education,125.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,125.0,yes,no,yes,no,female,yes,19,0,6,8,5,10.6,0,0,6,8,5,11.0,0,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,150.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,"Skilled Agricultural, Forestry and Fishery Workers",138.5,no,no,no,yes,female,yes,18,0,5,5,5,14.0,0,0,5,6,5,13.6,0,12.4,0.5,1.79,Graduate
in union,General application,>3,Health sciences,daytime,Upper secondary education,143.0,Portuguese,Primary/Early education,Lower secondary education,Service and Sales Workers,Plant and Machine Operators and Assemblers,133.5,yes,no,no,yes,female,yes,18,0,8,8,7,12.114285714285714,0,0,8,8,7,12.114285714285714,0,12.7,3.7,-1.7,Graduate
single,General application,3,Health sciences,daytime,Upper secondary education,145.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,141.5,yes,no,no,yes,female,yes,18,0,8,8,8,13.05875,0,0,8,8,8,13.05875,0,9.4,-0.8,-3.12,Graduate
single,Transfer and change,1,Health sciences,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Elementary Occupations,Technicians and Associate Professionals,130.0,yes,no,no,yes,female,no,22,4,8,8,7,13.285714285714286,0,4,8,8,7,13.285714285714286,0,12.7,3.7,-1.7,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,138.0,Portuguese,Primary/Early education,Primary/Early education,Service and Sales Workers,Craft and Related Trades Workers,131.0,yes,no,no,yes,female,no,19,0,5,9,4,11.0,0,0,5,8,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,145.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,145.0,no,no,no,yes,female,yes,18,0,7,7,7,14.071428571428571,0,0,8,8,8,15.1625,0,13.9,-0.3,0.79,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,122.0,Portuguese,Primary/Early education,Primary/Early education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",114.3,no,no,no,no,female,no,20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,Post-secondary qualification,1,Communication and design,daytime,Post-secondary non-tertiary education,110.0,Portuguese,Primary/Early education,Primary/Early education,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",108.3,no,no,no,no,female,no,26,4,9,9,4,11.25,0,3,10,12,3,11.0,0,12.4,0.5,1.79,Dropout
single,General application,3,Communication and design,daytime,Upper secondary education,136.0,Portuguese,Primary/Early education,Lower secondary education,Elementary Occupations,Elementary Occupations,125.2,yes,no,no,yes,female,yes,18,0,6,6,6,14.0,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,145.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Elementary Occupations,131.7,yes,no,no,yes,female,yes,21,0,6,8,6,12.166666666666666,0,0,6,11,3,11.666666666666666,0,10.8,1.4,1.74,Dropout
single,General application,>3,Health sciences,daytime,Upper secondary education,141.0,Portuguese,Lower secondary education,Primary/Early education,Technicians and Associate Professionals,Technicians and Associate Professionals,126.3,yes,no,no,yes,female,no,18,0,8,8,7,13.297142857142855,0,0,8,8,7,13.297142857142855,0,10.8,1.4,1.74,Graduate
single,General application,1,Health sciences,daytime,Upper secondary education,149.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,"Skilled Agricultural, Forestry and Fishery Workers",147.6,yes,no,no,yes,female,no,20,0,6,14,6,13.923076923076923,0,0,6,9,6,14.25,0,15.5,2.8,-4.06,Graduate
single,General application,>3,Health sciences,daytime,Upper secondary education,130.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Service and Sales Workers,"Skilled Agricultural, Forestry and Fishery Workers",125.1,yes,no,no,yes,female,no,18,0,7,11,7,13.37,0,0,8,13,7,12.833333333333334,0,15.5,2.8,-4.06,Graduate
single,General application,>3,Business and management,daytime,Upper secondary education,121.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Craft and Related Trades Workers,Elementary Occupations,123.8,no,no,no,yes,female,yes,19,0,5,5,5,12.4,0,0,5,8,3,11.0,0,12.7,3.7,-1.7,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,128.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Professionals,Professionals,130.8,yes,no,no,yes,female,no,20,0,5,5,4,15.0,0,0,5,5,4,13.75,0,7.6,2.6,0.32,Dropout
single,General application,1,Social sciences and education,daytime,Upper secondary education,152.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,154.1,no,no,yes,yes,female,yes,18,0,6,6,6,13.333333333333334,0,0,6,7,6,12.571428571428571,0,12.7,3.7,-1.7,Graduate
single,General application,2,Business and management,daytime,Upper secondary education,132.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,122.6,yes,no,no,yes,female,yes,20,0,5,8,3,12.0,0,0,5,9,4,12.625,0,10.8,1.4,1.74,Enrolled
single,General application,2,Social sciences and education,evening,Upper secondary education,107.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Student,Student,103.5,yes,no,no,yes,female,no,22,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,131.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Clerical Support Workers,Service and Sales Workers,132.8,yes,no,no,yes,female,no,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
single,Transfer and change,1,Business and management,evening,Upper secondary education,141.0,Portuguese,Upper secondary/Post secondary,Lower secondary education,Service and Sales Workers,Craft and Related Trades Workers,100.0,no,no,no,yes,female,no,21,1,5,9,4,11.5,0,1,5,5,5,11.4,0,8.9,1.4,3.51,Graduate
single,General application,2,Social sciences and education,daytime,Upper secondary education,120.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Elementary Occupations,Student,115.8,no,no,no,yes,female,no,18,0,7,12,6,12.0,0,0,7,11,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,148.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Clerical Support Workers,133.8,no,no,no,yes,female,no,18,0,8,8,7,13.485714285714284,0,0,8,8,7,13.485714285714284,0,12.7,3.7,-1.7,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,130.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Clerical Support Workers,Service and Sales Workers,118.5,no,yes,no,yes,female,yes,18,0,6,6,6,12.0,0,0,6,8,6,11.285714285714286,0,8.9,1.4,3.51,Graduate
single,General application,1,Communication and design,daytime,Upper secondary education,145.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Managers,150.3,yes,no,no,yes,female,no,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
single,General application,3,Business and management,daytime,Upper secondary education,112.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Service and Sales Workers,107.8,yes,no,no,yes,female,no,19,0,5,7,3,10.333333333333334,0,0,5,11,3,14.428571428571429,0,10.8,1.4,1.74,Enrolled
single,General application,1,Health sciences,daytime,Upper secondary education,138.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Clerical Support Workers,127.5,yes,no,no,yes,female,no,19,0,7,10,5,12.94,0,0,7,7,5,13.76,0,16.2,0.3,-0.92,Enrolled
single,General application,3,Health sciences,daytime,Upper secondary education,135.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Craft and Related Trades Workers,Craft and Related Trades Workers,120.5,yes,no,no,yes,female,no,19,0,8,11,7,13.258571428571427,0,0,8,11,7,13.258571428571427,0,10.8,1.4,1.74,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,118.0,Portuguese,Upper secondary/Post secondary,Bachelor or equivalent,Other,Other,117.3,yes,no,no,yes,female,no,19,0,5,9,4,12.25,0,0,5,10,4,12.0,0,8.9,1.4,3.51,Enrolled
single,General application,1,Business and management,daytime,Upper secondary education,123.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,120.6,yes,no,no,no,female,no,19,0,6,9,3,11.666666666666666,0,0,6,15,1,10.0,0,10.8,1.4,1.74,Dropout
single,General application,>3,Business and management,daytime,Upper secondary education,126.0,Portuguese,Lower secondary education,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,118.7,yes,no,no,yes,female,yes,21,0,6,7,6,13.571428571428571,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,150.0,Other nationalities,Upper secondary/Post secondary,Primary/Early education,Elementary Occupations,Craft and Related Trades Workers,130.8,no,no,no,yes,female,yes,20,0,6,9,5,11.8,0,0,6,9,5,11.833333333333334,0,15.5,2.8,-4.06,Graduate
single,General application,1,Business and management,daytime,Upper secondary education,121.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Technicians and Associate Professionals,Elementary Occupations,112.6,yes,no,no,yes,female,yes,20,0,5,7,5,14.2,0,0,5,7,5,13.285714285714286,0,11.1,0.6,2.02,Graduate
single,Over 23,1,Business and management,evening,Upper secondary education,133.1,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,117.2,no,no,no,yes,female,no,41,0,5,8,5,11.0,0,0,5,6,5,11.8,1,7.6,2.6,0.32,Graduate
previously in union,Previous degree,1,Health sciences,daytime,Tertiary education experience,130.0,Portuguese,Primary/Early education,Primary/Early education,Technicians and Associate Professionals,Technicians and Associate Professionals,130.0,yes,no,no,yes,female,no,32,0,7,16,4,13.625,0,0,7,8,7,12.6375,0,12.4,0.5,1.79,Enrolled
single,General application,3,Health sciences,daytime,Upper secondary education,139.0,Portuguese,Lower secondary education,Upper secondary/Post secondary,Elementary Occupations,Service and Sales Workers,131.8,yes,no,no,yes,female,no,18,0,8,8,7,14.652857142857142,0,0,8,8,7,14.652857142857142,0,10.8,1.4,1.74,Graduate
previously in union,Over 23,1,Social sciences and education,evening,Upper secondary education,160.0,Portuguese,Primary/Early education,Primary/Early education,Technicians and Associate Professionals,Clerical Support Workers,97.0,no,no,no,yes,female,yes,35,0,6,9,6,11.333333333333334,0,0,6,6,6,11.333333333333334,0,15.5,2.8,-4.06,Graduate
single,Over 23,1,Health sciences,daytime,Upper secondary education,110.0,Portuguese,Primary/Early education,Primary/Early education,Elementary Occupations,Elementary Occupations,130.0,no,no,yes,no,female,no,32,0,7,12,4,13.7,0,0,7,7,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Over 23,1,Social sciences and education,evening,Tertiary education experience,140.0,Portuguese,Upper secondary/Post secondary,Primary/Early education,Service and Sales Workers,Elementary Occupations,148.0,no,no,no,yes,female,no,37,7,11,11,11,13.727272727272728,0,4,8,8,8,14.75,0,12.4,0.5,1.79,Graduate
in union,Over 23,2,Business and management,daytime,Tertiary education experience,130.0,Portuguese,Bachelor or equivalent,Primary/Early education,Elementary Occupations,Elementary Occupations,103.4,no,no,no,yes,female,no,30,4,7,9,7,11.75,0,3,8,12,7,11.142857142857142,0,12.7,3.7,-1.7,Dropout
single,Transfer and change,2,Communication and design,daytime,Upper secondary education,132.0,Portuguese,Upper secondary/Post secondary,Upper secondary/Post secondary,Student,Student,127.1,no,no,no,yes,male,no,23,0,6,9,6,12.333333333333334,0,0,6,11,5,13.0,0,7.6,2.6,0.32,Graduate
single,General application,2,Communication and design,daytime,Upper secondary education,139.0,Portuguese,Bachelor or equivalent,Upper secondary/Post secondary,Professionals,Craft and Related Trades Workers,124.0,yes,no,no,yes,female,yes,20,0,6,6,6,14.0,0,0,6,7,6,13.857142857142858,0,15.5,2.8,-4.06,Dropout
